CASE_NO,DateTime,ACCD_TP,Year,Longitude,Latitude,City,District,Village
CE110937,1921/20/51 51:13:00,3,102,121.561295,24.989522,Taipei City,Wenshan District,Mingxing Vil.
C7145174,1921/20/41 21:45:00,2,102,121.528927,25.062116,Taipei City,Zhongshan District,Xinsheng Vil.
CB132804,1921/21/12 02:00:00,2,102,121.543849,25.049989,Taipei City,Zhongshan District,Lixing Vil.
CH111975,1921/20/11 01:84:00,2,102,121.575725,25.051497,Taipei City,Songshan District,Ciyou Vil.
CA110623,1921/20/31 11:42:00,3,102,121.510798,25.023626,Taipei City,Wanhua District,Tengyun Vil.
CG144223,1921/21/11 70:82:00,3,102,121.580963,25.088169,Taipei City,Neihu District,Hubin Vil.
C8149125,1921/21/11 81:74:00,3,102,121.540964,25.01864,Taipei City,Da an District,Xuefu Vil.
CC141342,1921/21/00 11:52:00,3,102,121.486585,25.098526,Taipei City,Shilin District,
CD121483,1921/20/42 81:01:00,3,102,121.52457,25.133848,Taipei City,Beitou District,Yonghe Vil.
C7144291,1921/20/41 30:21:00,2,102,121.526624,25.062214,Taipei City,Zhongshan District,Juye Vil.
CD121262,1921/20/63 01:30:00,3,102,121.518038,25.126598,Taipei City,Beitou District,Yongxin Vil.
C7147528,1921/20/62 91:72:00,3,102,121.528056,25.050236,Taipei City,Zhongshan District,Zhengyi Vil.
CB126930,1921/20/60 40:82:00,2,102,121.557581,25.050234,Taipei City,Songshan District,Fushi Vil.
CC136645,1921/20/32 11:15:00,3,102,121.513275,25.097378,Taipei City,Shilin District,Hougang Vil.
C8145497,1921/21/11 51:74:00,3,102,121.527522,25.04666,Taipei City,Zhongzheng District,Meihua Vil.
CA111275,1921/20/52 71:23:00,3,102,121.502251,25.028418,Taipei City,Wanhua District,Xinzhong Vil.
CF115845,1921/20/92 62:00:00,2,102,121.543231,25.00458,Taipei City,Wenshan District,Wansheng Vil.
C8136718,1921/20/13 01:25:00,2,102,121.540945,25.044478,Taipei City,Da an District,Cheng an Vil.
CI128612,1921/20/62 32:11:00,2,102,121.558607,25.047283,Taipei City,Songshan District,Fusheng Vil.
CC128046,1921/20/13 01:45:00,2,102,121.516385,25.104095,Taipei City,Beitou District,Jianmin Vil.
C5127438,1921/20/70 31:81:00,2,102,121.508879,25.075219,Taipei City,Datong District,Laushi Vil.
CI117542,1921/20/32 21:64:00,2,102,121.54833,25.027274,Taipei City,Da an District,Qunxian Vil.
CI117843,1921/20/42 20:71:00,3,102,121.555561,25.024533,Taipei City,Xinyi District,Lishun Vil.
CC137177,1921/20/81 72:30:00,2,102,121.517547,25.087293,Taipei City,Shilin District,Fuzhong Vil.
CD124776,1921/20/32 81:53:00,3,102,121.484568,25.123368,Taipei City,Beitou District,Baxian Vil.
C7142479,1921/20/11 11:50:00,3,102,121.528636,25.046724,Taipei City,Zhongshan District,Zhengshou Vil.
C9115027,1921/20/71 62:25:00,3,102,121.507703,25.049276,Taipei City,Datong District,Yuquan Vil.
CI103163,1921/20/11 01:75:00,2,102,121.558278,25.048857,Taipei City,Songshan District,Jixiang Vil.
CG144611,1921/21/13 01:10:00,2,102,121.598659,25.074712,Taipei City,Neihu District,Jin Hu Vil.
C8147874,1921/20/90 41:23:00,3,102,121.525253,25.024058,Taipei City,Da an District,Guzhuang Vil.
CC141393,1921/20/90 61:74:00,2,102,121.509892,25.091944,Taipei City,Shilin District,Shezi Vil.
CE112914,1921/20/90 91:64:00,2,102,121.55977,24.988282,Taipei City,Wenshan District,Mingyi Vil.
CC139448,1921/20/81 70:85:00,2,102,121.518735,25.102756,Taipei City,Shilin District,Dehua Vil.
C8143321,1921/21/02 71:31:00,2,102,121.540966,25.046539,Taipei City,Zhongshan District,Pitou Vil.
C9115217,1921/20/52 71:81:00,2,102,121.507318,25.041564,Taipei City,Wanhua District,Xinqi Vil.
C7144201,1921/20/21 01:83:00,3,102,121.521347,25.050398,Taipei City,Zhongshan District,Min an Vil.
CD123176,1921/20/40 70:70:00,3,102,121.485843,25.147773,Taipei City,Beitou District,Dauxiang Vil.
C9121469,1921/21/21 62:14:00,3,102,121.523504,25.043765,Taipei City,Zhongzheng District,Xingfu Vil.
